REF_DATE,GEO,Products_and_product_groups,VALUE,Percent_Change
Aug-09,Alberta,Shelter,147.4,-6.1
Aug-09,Alberta,"Household operations, furnishings and equipment",107.7,3.1
Aug-09,Alberta,Clothing and footwear,97.1,-1
Aug-09,Alberta,Transportation,117,-6.4
Aug-09,Alberta,Health and personal care,114.7,3.1
Aug-09,Alberta,"Recreation, education and reading",106.7,1.2
Aug-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",134.1,4.8
Aug-09,Alberta,Energy,143.9,-28.6
Sep-09,Alberta,All-items,121.5,-1.1
Sep-09,Alberta,Food,119.2,2.1
Sep-09,Alberta,Shelter,145.2,-3.2
Sep-09,Alberta,"Household operations, furnishings and equipment",108.4,1.9
Sep-09,Alberta,Clothing and footwear,98.4,-0.2
Sep-09,Alberta,Transportation,115.8,-6.9
Sep-09,Alberta,Health and personal care,120.1,7.4
Sep-09,Alberta,"Recreation, education and reading",107.4,1.5
Sep-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.7,4.3
Sep-09,Alberta,Energy,136.2,-24.2
Oct-09,Alberta,All-items,121.6,0.1
Oct-09,Alberta,Food,119.5,2.4
Oct-09,Alberta,Shelter,145.4,-2.9
Oct-09,Alberta,"Household operations, furnishings and equipment",109.5,3.7
Oct-09,Alberta,Clothing and footwear,100.3,2.9
Oct-09,Alberta,Transportation,115.3,-3.5
Oct-09,Alberta,Health and personal care,120.1,7.2
Oct-09,Alberta,"Recreation, education and reading",106.5,1.7
Oct-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.4,3.6
Oct-09,Alberta,Energy,133.1,-17.5
Nov-09,Alberta,All-items,122.6,0.8
Nov-09,Alberta,Food,120.4,1.5
Nov-09,Alberta,Shelter,147.9,-2.4
Nov-09,Alberta,"Household operations, furnishings and equipment",109.7,3.5
Nov-09,Alberta,Clothing and footwear,99.4,2.6
Nov-09,Alberta,Transportation,117,0.2
Nov-09,Alberta,Health and personal care,120,7
Nov-09,Alberta,"Recreation, education and reading",105.9,2.2
Nov-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.6,3.5
Nov-09,Alberta,Energy,144.5,-2.8
Dec-09,Alberta,All-items,121.9,0.6
Dec-09,Alberta,Food,120.7,0.9
Dec-09,Alberta,Shelter,147.4,-3.7
Dec-09,Alberta,"Household operations, furnishings and equipment",107.4,1.9
Dec-09,Alberta,Clothing and footwear,96.1,0.9
Dec-09,Alberta,Transportation,116.9,3
Dec-09,Alberta,Health and personal care,120.2,7.4
Dec-09,Alberta,"Recreation, education and reading",105.3,2.1
Dec-09,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.3,3.4
Dec-09,Alberta,Energy,141,-1.2
Jan-10,Alberta,All-items,122.3,1.7
Jan-10,Alberta,Food,121,1
Jan-10,Alberta,Shelter,148.5,-1.2
Jan-10,Alberta,"Household operations, furnishings and equipment",107.6,1.9
Jan-10,Alberta,Clothing and footwear,96.1,-0.8
Jan-10,Alberta,Transportation,118.8,6.4
Jan-10,Alberta,Health and personal care,119.9,6.6
Jan-10,Alberta,"Recreation, education and reading",103.4,1.6
Jan-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.4,3.3
Jan-10,Alberta,Energy,148.3,9.3
Feb-10,Alberta,All-items,122.7,1
Feb-10,Alberta,Food,121.8,1.3
Feb-10,Alberta,Shelter,148.2,-2.4
Feb-10,Alberta,"Household operations, furnishings and equipment",106.9,-0.3
Feb-10,Alberta,Clothing and footwear,96,-1.8
Feb-10,Alberta,Transportation,117.9,3.4
Feb-10,Alberta,Health and personal care,119.9,6.7
Feb-10,Alberta,"Recreation, education and reading",107.9,4.8
Feb-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.5,3.7
Feb-10,Alberta,Energy,144.5,-1.4
Mar-10,Alberta,All-items,122.1,1
Mar-10,Alberta,Food,122.3,1.2
Mar-10,Alberta,Shelter,146.7,-1.3
Mar-10,Alberta,"Household operations, furnishings and equipment",106.9,-0.4
Mar-10,Alberta,Clothing and footwear,97.7,-1.4
Mar-10,Alberta,Transportation,117.6,3.4
Mar-10,Alberta,Health and personal care,119.5,6.5
Mar-10,Alberta,"Recreation, education and reading",105.3,1.8
Mar-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.5,3.7
Mar-10,Alberta,Energy,141.5,3
Apr-10,Alberta,All-items,122.3,1.6
Apr-10,Alberta,Food,122,1.2
Apr-10,Alberta,Shelter,145.3,-0.7
Apr-10,Alberta,"Household operations, furnishings and equipment",107.8,0.6
Apr-10,Alberta,Clothing and footwear,98.7,1
Apr-10,Alberta,Transportation,119,4.7
Apr-10,Alberta,Health and personal care,121.1,6.3
Apr-10,Alberta,"Recreation, education and reading",105.9,1.7
Apr-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.7,4.3
Apr-10,Alberta,Energy,137.1,4.5
May-10,Alberta,All-items,122.7,1.1
May-10,Alberta,Food,121.6,0.2
May-10,Alberta,Shelter,145.6,-0.1
May-10,Alberta,"Household operations, furnishings and equipment",108.2,0.4
May-10,Alberta,Clothing and footwear,97.3,1.1
May-10,Alberta,Transportation,120.6,3.9
May-10,Alberta,Health and personal care,121.1,6
May-10,Alberta,"Recreation, education and reading",106.4,0.2
May-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.5,-1.5
May-10,Alberta,Energy,138.9,4
Jun-10,Alberta,All-items,122.7,0.6
Jun-10,Alberta,Food,121.7,0.7
Jun-10,Alberta,Shelter,147.5,0.9
Jun-10,Alberta,"Household operations, furnishings and equipment",107.5,-0.1
Jun-10,Alberta,Clothing and footwear,95,-1
Jun-10,Alberta,Transportation,119.1,0.1
Jun-10,Alberta,Health and personal care,121.6,5.6
Jun-10,Alberta,"Recreation, education and reading",106.7,0.4
Jun-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.9,-1.4
Jun-10,Alberta,Energy,140.8,-0.4
Jul-10,Alberta,All-items,123.3,1.5
Jul-10,Alberta,Food,122.3,0.9
Jul-10,Alberta,Shelter,149.7,2.5
Jul-10,Alberta,"Household operations, furnishings and equipment",107.6,0
Jul-10,Alberta,Clothing and footwear,94.3,-0.1
Jul-10,Alberta,Transportation,118,1.1
Jul-10,Alberta,Health and personal care,122.3,6.2
Jul-10,Alberta,"Recreation, education and reading",107.5,0.8
Jul-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.9,-0.6
Jul-10,Alberta,Energy,149.2,8.6
Aug-10,Alberta,All-items,122.7,0.6
Aug-10,Alberta,Food,121.9,0.9
Aug-10,Alberta,Shelter,147.9,0.3
Aug-10,Alberta,"Household operations, furnishings and equipment",107.6,-0.1
Aug-10,Alberta,Clothing and footwear,94.9,-2.3
Aug-10,Alberta,Transportation,118,0.9
Aug-10,Alberta,Health and personal care,122.4,6.7
Aug-10,Alberta,"Recreation, education and reading",106.8,0.1
Aug-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.3,-0.6
Aug-10,Alberta,Energy,145.1,0.8
Sep-10,Alberta,All-items,122.6,0.9
Sep-10,Alberta,Food,121.2,1.7
Sep-10,Alberta,Shelter,147.9,1.9
Sep-10,Alberta,"Household operations, furnishings and equipment",107.2,-1.1
Sep-10,Alberta,Clothing and footwear,96.6,-1.8
Sep-10,Alberta,Transportation,118.1,2
Sep-10,Alberta,Health and personal care,122.4,1.9
Sep-10,Alberta,"Recreation, education and reading",106.6,-0.7
Sep-10,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",133.5,-0.1
Sep-10,Alberta,Energy,144.2,5.9
Oct-10,Alberta,All-items,123,1.2
Oct-10,Alberta,Food,121.8,1.9
Oct-10,Alberta,Shelter,147.7,1.6
Oct-10,Alberta,"Household operations, furnishings and equipment",108.5,-0.9
Oct-10,Alberta,Clothing and footwear,98.4,-1.9
Oct-10,Alberta,Transportation,118.9,3.1
Oct-10,Alberta,Health and personal care,122.6,2.1
Oct-10,Alberta,"Recreation, education and reading",105.8,-0.7
